"subID","block","trial","image","imageIdx","cueIdx","cue_string","congruent","response","accuracy","RT","cueDuration","learningRound","trueCue","congCue","imgLockedRT"
67,1,61," S1-15.jpg",1,3," orange","neutral",1,1,1.4841,0.7833,1,0.5,0.5,0.7008
67,1,62," S1-15.jpg",1,1," green","congruent",1,1,1.4008,0.8,1,0.65,0.65,0.6008
67,1,63," S2-19.jpg",2,1," green","incongruent",1,0,0.5903,0.8833,1,0.65,0.35,-0.293
67,1,64," S1-15.jpg",1,1," green","congruent",2,0,0.9532,0.8333,1,0.65,0.65,0.1199
67,1,65," S2-19.jpg",2,2," purple","congruent",2,1,1.3423,0.7667,1,0.65,0.65,0.5756
67,1,66," S2-19.jpg",2,1," green","incongruent",2,1,1.2607,0.85,1,0.65,0.35,0.4107
67,1,67," S1-15.jpg",1,1," green","congruent",2,0,1.0248,0.8833,1,0.65,0.65,0.1415
67,1,68," S2-19.jpg",2,2," purple","congruent",2,1,1.3537,1.0333,1,0.65,0.65,0.3204
67,1,69," S1-15.jpg",1,2," purple","incongruent",2,0,0.3969,0.7833,1,0.65,0.35,-0.3864
67,1,70," S2-19.jpg",2,2," purple","congruent",2,1,1.4956,1,1,0.65,0.65,0.4956
67,1,71," S1-15.jpg",1,1," green","congruent",1,1,1.4485,0.7667,1,0.65,0.65,0.6818
67,1,72," S2-19.jpg",2,2," purple","congruent",2,1,1.0957,0.75,1,0.65,0.65,0.3457
67,1,73," S2-19.jpg",2,1," green","incongruent",1,0,0.643,0.8167,1,0.65,0.35,-0.1737
67,1,74," S1-15.jpg",1,2," purple","incongruent",2,0,0.5024,0.7667,1,0.65,0.35,-0.2643
67,1,75," S2-19.jpg",2,3," orange","neutral",2,1,1.3895,0.8333,1,0.5,0.5,0.5562
67,1,76," S2-19.jpg",2,2," purple","congruent",2,1,1.6257,0.9333,1,0.65,0.65,0.6924
67,1,77," S1-15.jpg",1,3," orange","neutral",1,1,1.3663,0.8,1,0.5,0.5,0.5663
67,1,78," S2-19.jpg",2,3," orange","neutral",1,0,0.6864,1.5,1,0.5,0.5,-0.8136
67,1,79," S2-19.jpg",2,2," purple","congruent",2,1,1.4608,0.8333,1,0.65,0.65,0.6275
67,1,80," S2-19.jpg",2,2," purple","congruent",2,1,0.742,0.9,1,0.65,0.65,-0.158
67,1,81," S2-19.jpg",2,2," purple","congruent",2,1,0.4073,0.7667,1,0.65,0.65,-0.3594
67,1,82," S1-15.jpg",1,3," orange","neutral",1,1,1.5192,1.1167,1,0.5,0.5,0.4025
67,1,83," S2-19.jpg",2,3," orange","neutral",1,0,0.6234,0.8833,1,0.5,0.5,-0.2599
67,1,84," S2-19.jpg",2,3," orange","neutral",2,1,0.5371,0.8,1,0.5,0.5,-0.2629
67,1,85," S2-19.jpg",2,2," purple","congruent",2,1,1.3543,0.9333,1,0.65,0.65,0.421
67,1,86," S2-19.jpg",2,3," orange","neutral",2,1,1.4585,1.0167,1,0.5,0.5,0.4418
67,1,87," S2-19.jpg",2,1," green","incongruent",2,1,1.472,1.0333,1,0.65,0.35,0.4387
67,1,88," S2-19.jpg",2,2," purple","congruent",2,1,1.1649,0.7667,1,0.65,0.65,0.3982
67,1,89," S2-19.jpg",2,1," green","incongruent",2,1,0.583,0.9,1,0.65,0.35,-0.317
67,1,90," S2-19.jpg",2,3," orange","neutral",2,1,0.5441,0.9,1,0.5,0.5,-0.3559
68,1,1," S4-20.jpg",1,1," purple","congruent",NA,0,NA,1.5,1,0.65,0.65,NA
68,1,2," S4-20.jpg",1,2," orange","incongruent",2,0,1.0753,0.8333,1,0.65,0.35,0.242
68,1,3," S3-12.jpg",2,1," purple","incongruent",1,0,0.9311,1.1333,1,0.65,0.35,-0.2022
68,1,4," S3-12.jpg",2,2," orange","congruent",2,1,1.6731,0.9,1,0.65,0.65,0.7731
68,1,5," S3-12.jpg",2,2," orange","congruent",2,1,1.3068,0.95,1,0.65,0.65,0.3568
68,1,6," S3-12.jpg",2,1," purple","incongruent",2,1,1.6713,1.0833,1,0.65,0.35,0.588
68,1,7," S4-20.jpg",1,3," green","neutral",1,1,1.637,0.9667,1,0.5,0.5,0.6703
68,1,8," S3-12.jpg",2,3," green","neutral",2,1,1.4615,0.9167,1,0.5,0.5,0.5448
68,1,9," S4-20.jpg",1,1," purple","congruent",1,1,1.2868,0.85,1,0.65,0.65,0.4368
68,1,10," S4-20.jpg",1,2," orange","incongruent",2,0,1.178,0.85,1,0.65,0.35,0.328
68,1,11," S3-12.jpg",2,3," green","neutral",2,1,1.4126,0.7833,1,0.5,0.5,0.6293
